epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,781,0.1584105186364715,0.027348721683712225,1.6439119018757389,38.20222471190781,87.80409731113957,61.79777528809219,12.195902688860428,0.15007940826901964,0.08419572927389934,1.6494777435302734,40.14,89.28,59.86,10.719999999999999
2,1562,0.15624983026795136,0.02694859455855952,1.1694677877365092,57.75848271446863,95.35651408450704,42.24151728553137,4.64348591549296,0.14997995127538208,0.0841957383854374,1.335200912666321,52.14,94.4,47.86,5.599999999999994
3,2343,0.15558133845750563,0.027168664370547792,0.9381344770194626,66.81137964148527,97.1770966709347,33.188620358514726,2.822903329065298,0.1505769939179633,0.08469331492284302,1.239353918838501,58.72,95.36,41.28,4.640000000000001
4,3124,0.15564963942758558,0.026788547005451902,0.7991483540449497,71.8810019206146,97.98735595390525,28.118998079385406,2.0126440460947492,0.15007942041773706,0.08459383059459127,1.1787993287086487,59.29,95.54,40.71,4.459999999999994
5,3905,0.15578968241028535,0.02704862382134158,0.7111739170917628,75.26008322663252,98.48151408450704,24.739916773367483,1.5184859154929597,0.14958181198994824,0.08339956307866771,0.9977475246429444,66.0,97.03,34.0,2.969999999999999
6,4686,0.1552895248012567,0.026648500970017436,0.6439962749978797,77.63084186939821,98.69558258642766,22.36915813060179,1.304417413572338,0.1495817907296928,0.0834990747415336,0.9613047038078308,68.47,96.32,31.53,3.680000000000007
7,5467,0.15628984459841602,0.02676853968758284,0.6037398314201267,78.91725352112677,98.88364276568502,21.082746478873233,1.1163572343149752,0.1496813145412761,0.08369811932752087,1.1765403789520263,60.18,94.07,39.82,5.930000000000007
8,6248,0.1557296415297231,0.026568451550492252,0.5599850490975472,80.51976632522407,98.99967989756722,19.48023367477593,1.0003201024327808,0.14968133580153156,0.08389718669235327,1.0338242265701294,65.12,95.78,34.879999999999995,4.219999999999999
9,7029,0.1556496372906713,0.026848561632495837,0.5369314563945985,81.4120518565941,99.06169974391806,18.587948143405896,0.9383002560819449,0.14968132365281414,0.08389717150645651,0.9962784791946411,66.81,95.66,33.19,4.340000000000003
10,7810,0.15572963908753534,0.026868542391573116,0.5153695545833028,82.26232394366197,99.13772407170295,17.73767605633803,0.862275928297052,0.15027846196654496,0.08389717454363586,1.1006503582000733,61.97,94.83,38.03,5.170000000000002
11,8591,0.15558962052671307,0.026548470486141503,0.4911640911874637,82.8705185659411,99.26576504481434,17.129481434058903,0.7342349551856557,0.14968135098742832,0.08389720795260873,0.9134772466659546,68.61,96.81,31.39,3.1899999999999977
12,9372,0.155749650679233,0.026728506124889653,0.4780124385439327,83.4627080665813,99.25976312419975,16.5372919334187,0.7402368758002495,0.1496813206156348,0.0836981299576486,0.8322926425933838,71.6,97.78,28.400000000000006,2.219999999999999
13,10153,0.1555496083331627,0.026568473224908535,0.46121260170823636,84.02888924455826,99.31978233034572,15.971110755441742,0.680217669654283,0.15117418234515342,0.08479289188506497,0.8488889125823975,70.81,97.35,29.189999999999998,2.6500000000000057
14,10934,0.15596974216563753,0.02696860279224899,0.4536204662235995,84.30297695262485,99.35779449423815,15.697023047375154,0.6422055057618508,0.15097512409185906,0.08519097650127047,0.8193726755142212,72.34,97.5,27.659999999999997,2.5
15,11715,0.15620981532693978,0.026848561327222367,0.4350647626017792,85.00520166453265,99.37580025608194,14.994798335467351,0.6241997439180551,0.15100303728869008,0.0847992289597821,0.6672980020523072,77.63,98.5,22.370000000000005,1.5
16,12496,0.15612979246620637,0.026588484816606157,0.42696612142264917,85.21126760563381,99.44582266325224,14.788732394366193,0.554177336747756,0.14938278866421645,0.08349911878063421,0.6750485441207886,76.52,98.63,23.480000000000004,1.3700000000000045
17,13277,0.1555696113772032,0.02664849944365009,0.4175769394399567,85.45134443021767,99.43181818181819,14.548655569782326,0.568181818181813,0.14948230792003073,0.08330006204592953,0.6752988262176514,76.98,98.26,23.019999999999996,1.7399999999999949
18,14058,0.15544955251158887,0.02658845673144703,0.4062360379363144,85.92549615877081,99.50984314980793,14.074503841229188,0.490156850192065,0.149382715771912,0.08349904285115041,0.7086680394172669,75.72,98.15,24.28,1.8499999999999943
19,14839,0.15558961900034574,0.026508454324036035,0.40046218547984364,86.17357554417414,99.46182778489117,13.826424455825858,0.5381722151088297,0.1496813251714038,0.0836981360320073,0.6811671236991882,76.34,98.13,23.659999999999997,1.8700000000000045
20,15620,0.1553695479672636,0.026548466517586407,0.3966884195098651,86.3676376440461,99.50784250960308,13.632362355953902,0.49215749039692014,0.14928325725968478,0.08359861373901367,0.6591973941802979,76.41,98.77,23.590000000000003,1.230000000000004
21,16401,0.15588969274611236,0.026528439356941876,0.38541480055539157,86.68974071702945,99.51384443021767,13.310259282970549,0.4861555697823263,0.14958178313674442,0.0842952378995859,0.675939596748352,76.0,98.37,24.0,1.6299999999999955
22,17182,0.15506945376817458,0.026828558588455335,0.38422029496918264,86.74375800256082,99.51584507042253,13.256241997439176,0.4841549295774712,0.14928324207378801,0.08399671961547463,0.7114481952667236,74.78,98.55,25.22,1.4500000000000028
23,17963,0.15494941627170303,0.02674852931697909,0.375290795969902,87.00584186939821,99.56586107554418,12.99415813060179,0.4341389244558229,0.14968132820858318,0.0842952621970207,0.5622107937812805,81.24,98.72,18.760000000000005,1.2800000000000011
24,18744,0.1549294059010993,0.026628488767772875,0.3700688998292411,87.20190460947504,99.53385083226632,12.798095390524963,0.46614916773367554,0.14948228969695462,0.08399670139239852,0.8021725967407226,73.29,97.59,26.709999999999994,2.4099999999999966
25,19525,0.1548893763069612,0.026788522278300933,0.36475084554141673,87.39396606914212,99.55585787451984,12.606033930857876,0.4441421254801554,0.1495818408431521,0.08379770540128088,0.6373613199234008,78.65,98.33,21.349999999999994,1.6700000000000017
26,20306,0.15534954400740267,0.02658848176387147,0.3609347811753405,87.5700224071703,99.55385723431498,12.429977592829701,0.44614276568502476,0.14948228514118558,0.08359859855311691,0.7799797312736512,73.06,97.72,26.939999999999998,2.280000000000001
27,21087,0.15550957324410217,0.02670849636483284,0.35800128318512486,87.72607234314981,99.59186939820742,12.27392765685019,0.4081306017925783,0.14908421874805622,0.0834991127062755,0.5712477411270142,80.09,98.93,19.909999999999997,1.0699999999999932
28,21868,0.15526666378700169,0.026448433591522724,0.3549292591542349,87.63004161331627,99.62387964148527,12.369958386683734,0.3761203585147257,0.14978085809452518,0.08369813299482795,0.634689089679718,78.05,98.85,21.950000000000003,1.1500000000000057
29,22649,0.1553695507147248,0.026568477193463627,0.347677061350947,88.08218629961587,99.60787451984635,11.91781370038413,0.392125480153652,0.14968130998550708,0.08349906714858522,0.5405838562965393,81.97,98.94,18.03,1.0600000000000023
30,23430,0.15534954339685575,0.026628495483789188,0.3437623851354235,88.11819782330346,99.61587708066581,11.881802176696539,0.38412291933418885,0.1493827658853713,0.0833995691530264,0.5280644882202148,81.8,99.08,18.200000000000003,0.9200000000000017
31,24211,0.15528952052742814,0.026628491515234092,0.34505977562691886,88.04617477592829,99.61187580025609,11.953825224071707,0.3881241997439133,0.14928326485263313,0.08330006356451922,0.6053248983383178,79.63,98.73,20.370000000000005,1.269999999999996
32,24992,0.1551694842520505,0.026548467738680283,0.3387316752811858,88.32026248399488,99.61787772087068,11.679737516005119,0.3821222791293195,0.1494823094386204,0.08379768869679445,0.5605201067924499,80.58,98.91,19.42,1.0900000000000034
33,25773,0.15524949887040024,0.026588470163479656,0.33726636529274084,88.20222471190782,99.61987836107555,11.797775288092183,0.38012163892445017,0.14928320714622545,0.08349905955563684,0.5285740994453431,81.9,99.08,18.099999999999994,0.9200000000000017
34,26554,0.15504943607100757,0.02662848296757697,0.3364858431944316,88.38028169014085,99.65388924455826,11.619718309859152,0.3461107554417424,0.14908417319036593,0.08339954941136063,0.480196916103363,83.75,99.26,16.25,0.7399999999999949
35,27335,0.1552494906280166,0.026488426247571098,0.33058394443019556,88.47431177976952,99.64988796414853,11.525688220230478,0.3501120358514669,0.15007945230812025,0.0845938791894609,0.5534513097286224,80.63,99.16,19.370000000000005,0.8400000000000034
36,28116,0.1552694945878775,0.026488425331750692,0.32593594879751475,88.62235915492958,99.63188220230474,11.377640845070417,0.36811779769526254,0.14968135554319734,0.08399672720842301,0.5895317995548248,80.01,99.06,19.989999999999995,0.9399999999999977
37,28897,0.15530950952888908,0.026548448201178285,0.32570643937656424,88.69038092189501,99.6338828425096,11.309619078104987,0.3661171574903932,0.14958183021302435,0.0834991066319168,0.4665061943054199,84.24,99.2,15.760000000000005,0.7999999999999972
38,29678,0.15530951074998298,0.02650843326016669,0.324206563626224,88.71038732394366,99.6338828425096,11.289612676056336,0.3661171574903932,0.1499799178664092,0.08399671961547463,0.5458730328559875,81.07,98.99,18.930000000000007,1.0100000000000051
39,30459,0.1555296016258406,0.026748532369713775,0.3208384765896388,88.79841549295774,99.61987836107555,11.201584507042256,0.38012163892445017,0.1495818211014863,0.08349910207614777,0.4804698739767075,83.49,99.25,16.510000000000005,0.75
40,31240,0.15544121732479785,0.02660846465986303,0.31616591610653605,89.13852432778489,99.68189820742637,10.861475672215107,0.3181017925736285,0.1491837243365634,0.08330004230426376,0.6064292204856873,79.16,98.89,20.840000000000003,1.1099999999999994
41,32021,0.15568962628343805,0.026668482339641655,0.31669036561334635,88.99647887323944,99.62988156209987,11.00352112676056,0.3701184379001319,0.15047745947625227,0.084593785036901,0.5127545164108276,82.5,99.13,17.5,0.8700000000000045
42,32802,0.15556961107192974,0.026628490904687156,0.3133547274388669,88.99847951344431,99.72391165172856,11.001520486555691,0.27608834827144335,0.14978082924132136,0.08409619786936766,0.4683098623275757,83.76,99.26,16.239999999999995,0.7399999999999949
43,33583,0.15568965101058901,0.026668504624604874,0.31385390650333117,89.20054417413573,99.65989116517285,10.799455825864271,0.3401088348271486,0.1497808459458078,0.08349908081589232,0.5089905347824096,82.67,99.12,17.33,0.8799999999999955
44,34364,0.1555295848357998,0.02664848479052359,0.31263407734765286,89.17453585147247,99.67189500640205,10.82546414852753,0.32810499359794676,0.14938275981101262,0.08369815121790405,0.4834761244297028,83.49,99.28,16.510000000000005,0.7199999999999989
45,35145,0.15554960589097497,0.026568472919635065,0.3080058376115202,89.05449743918054,99.6979033290653,10.945502560819463,0.30209667093470216,0.15087558205719967,0.08509144813391813,0.4253678776741028,85.39,99.39,14.61,0.6099999999999994
46,35926,0.15572966534105367,0.026768538466488963,0.3107636639140022,89.27056658130601,99.67389564660691,10.729433418693986,0.32610435339309163,0.14988035305290465,0.08379763099038677,0.4837755616188049,83.46,99.22,16.540000000000006,0.7800000000000011
47,36707,0.15536954857781052,0.026708519260342997,0.30429355266877234,89.49663892445582,99.68189820742637,10.503361075544177,0.3181017925736285,0.14997989205038473,0.08409622824116117,0.6055010898113251,79.85,98.59,20.150000000000006,1.4099999999999966
48,37488,0.1558296744557868,0.026708502775575686,0.3069650536539002,89.38460307298335,99.6919014084507,10.615396927016647,0.308098591549296,0.1504774822550974,0.08449428096698348,0.4672849567890167,84.57,99.11,15.430000000000007,0.8900000000000006
49,38269,0.15506942965157053,0.026788520751933588,0.30112248093424016,89.66269206145967,99.70390524967989,10.337307938540334,0.29609475032010835,0.14988035912726336,0.08489238836203411,0.4999864564418793,83.38,99.1,16.620000000000005,0.9000000000000057
50,39050,0.15522948331014752,0.026828538745679868,0.3016430181612126,89.42661651728554,99.69590268886043,10.573383482714462,0.3040973111395715,0.15057702125257746,0.08519095827819435,0.5494867906570434,81.39,98.89,18.61,1.1099999999999994
51,39831,0.1550694317884848,0.026808528680349587,0.2983374755815263,89.59467029449424,99.68990076824583,10.405329705505764,0.3100992317541653,0.15027843159475143,0.08469331188566366,0.5140512614250183,82.72,99.1,17.28,0.9000000000000057
52,40612,0.1553676403133573,0.026868571087279178,0.30155323980979515,89.46662932138284,99.6979033290653,10.53337067861716,0.30209667093470216,0.14968130998550708,0.08359859247875821,0.4282675822019577,85.69,99.45,14.310000000000002,0.5499999999999972
53,41393,0.15550957751793074,0.026668489666204904,0.2972796039319527,89.75072023047375,99.68189820742637,10.249279769526254,0.3181017925736285,0.14958182869443468,0.08339958737610252,0.45793709416389466,84.48,99.51,15.519999999999996,0.4899999999999949
54,42174,0.15536954705144318,0.02670851346014709,0.29472395559241005,89.76272407170295,99.75792253521126,10.237275928297052,0.2420774647887356,0.1493827476622952,0.08359859855311691,0.5211328528404235,82.47,98.92,17.53,1.0799999999999983
